Enduro: Thread  1 | Step       32/    2198 | Reward   0 | Qmax 0.3240 | Loss 0.187 | Epsilon 0.9991
Enduro: Thread  0 | Step       35/    2249 | Reward   0 | Qmax 0.3331 | Loss 0.119 | Epsilon 0.9976
Enduro: Thread  3 | Step       40/    2287 | Reward   0 | Qmax 0.3301 | Loss 0.084 | Epsilon 0.9999
Enduro: Thread  2 | Step       71/    2376 | Reward   1 | Qmax 0.3727 | Loss 0.563 | Epsilon 0.9996
Enduro: Thread  1 | Step       43/    2387 | Reward   0 | Qmax 0.4020 | Loss 0.229 | Epsilon 0.9990
Enduro: Thread  3 | Step       33/    2423 | Reward   0 | Qmax 0.4065 | Loss 0.177 | Epsilon 0.9998
Enduro: Thread  3 | Step       33/    2554 | Reward   0 | Qmax 0.4034 | Loss 0.240 | Epsilon 0.9998
Enduro: Thread  0 | Step       93/    2592 | Reward   1 | Qmax 0.3797 | Loss 0.514 | Epsilon 0.9974
Enduro: Thread  2 | Step       71/    2677 | Reward   1 | Qmax 0.3704 | Loss 0.903 | Epsilon 0.9995
Enduro: Thread  3 | Step       36/    2688 | Reward   0 | Qmax 0.3127 | Loss 0.070 | Epsilon 0.9997
Enduro: Thread  0 | Step       34/    2730 | Reward   0 | Qmax 0.2976 | Loss 0.305 | Epsilon 0.9973
Enduro: Thread  2 | Step       36/    2816 | Reward   0 | Qmax 0.3073 | Loss 0.081 | Epsilon 0.9994
Enduro: Thread  3 | Step       31/    2824 | Reward   0 | Qmax 0.3090 | Loss 0.130 | Epsilon 0.9997
Enduro: Thread  1 | Step      131/    2947 | Reward   2 | Qmax 0.3465 | Loss 0.499 | Epsilon 0.9988
Enduro: Thread  3 | Step       31/    2977 | Reward   0 | Qmax 0.3671 | Loss 0.097 | Epsilon 0.9997
Enduro: Thread  2 | Step       35/    2984 | Reward   0 | Qmax 0.3491 | Loss 0.172 | Epsilon 0.9994
Enduro: Thread  4 | Step       32/    2998 | Reward   0 | Qmax 0.3366 | Loss 1.212 | Epsilon 0.9999
Enduro: Thread  0 | Step       69/    3037 | Reward   1 | Qmax 0.3326 | Loss 0.506 | Epsilon 0.9972
Enduro: Thread  1 | Step       33/    3109 | Reward   0 | Qmax 0.3766 | Loss 0.102 | Epsilon 0.9988
Enduro: Thread  4 | Step       31/    3130 | Reward   0 | Qmax 0.2868 | Loss 0.000 | Epsilon 0.9998
Enduro: Thread  3 | Step       33/    3144 | Reward   0 | Qmax 0.3302 | Loss 0.110 | Epsilon 0.9996
Enduro: Thread  2 | Step       34/    3151 | Reward   0 | Qmax 0.3096 | Loss 0.098 | Epsilon 0.9993
Enduro: Thread  0 | Step       33/    3202 | Reward   0 | Qmax 0.2866 | Loss 0.082 | Epsilon 0.9971
Enduro: Thread  1 | Step       36/    3285 | Reward   0 | Qmax 0.2897 | Loss 0.078 | Epsilon 0.9988
Enduro: Thread  4 | Step       32/    3287 | Reward   0 | Qmax 0.2852 | Loss 0.090 | Epsilon 0.9998
Enduro: Thread  3 | Step       37/    3318 | Reward   0 | Qmax 0.2911 | Loss 0.070 | Epsilon 0.9996
Enduro: Thread  2 | Step       35/    3329 | Reward   0 | Qmax 0.2937 | Loss 0.089 | Epsilon 0.9993
Enduro: Thread  1 | Step       36/    3466 | Reward   0 | Qmax 0.2968 | Loss 0.072 | Epsilon 0.9987
Enduro: Thread  3 | Step       34/    3477 | Reward   0 | Qmax 0.2911 | Loss 0.076 | Epsilon 0.9995
Enduro: Thread  4 | Step       34/    3484 | Reward   0 | Qmax 0.2889 | Loss 0.117 | Epsilon 0.9997
Enduro: Thread  2 | Step       34/    3493 | Reward   0 | Qmax 0.2901 | Loss 0.099 | Epsilon 0.9993
Enduro: Thread  1 | Step       33/    3624 | Reward   0 | Qmax 0.2945 | Loss 0.091 | Epsilon 0.9987
Enduro: Thread  3 | Step       34/    3660 | Reward   0 | Qmax 0.3413 | Loss 0.076 | Epsilon 0.9995
Enduro: Thread  2 | Step       34/    3672 | Reward   0 | Qmax 0.3514 | Loss 0.089 | Epsilon 0.9992
Enduro: Thread  4 | Step       34/    3675 | Reward   0 | Qmax 0.2988 | Loss 0.127 | Epsilon 0.9996
Enduro: Thread  1 | Step       31/    3813 | Reward   0 | Qmax 0.3898 | Loss 0.137 | Epsilon 0.9986
Enduro: Thread  5 | Step       33/    3825 | Reward   0 | Qmax 0.3931 | Loss 0.022 | Epsilon 0.9999
Enduro: Thread  3 | Step       32/    3839 | Reward   0 | Qmax 0.3256 | Loss 0.124 | Epsilon 0.9994
Enduro: Thread  2 | Step       32/    3874 | Reward   0 | Qmax 0.3464 | Loss 0.073 | Epsilon 0.9992
Enduro: Thread  4 | Step       35/    3878 | Reward   0 | Qmax 0.3380 | Loss 0.100 | Epsilon 0.9995
Enduro: Thread  3 | Step       32/    4034 | Reward   0 | Qmax 0.3536 | Loss 0.104 | Epsilon 0.9994
Enduro: Thread  5 | Step       36/    4053 | Reward   0 | Qmax 0.3121 | Loss 0.140 | Epsilon 0.9998
Enduro: Thread  0 | Step      157/    4066 | Reward   2 | Qmax 0.3324 | Loss 0.455 | Epsilon 0.9967
Enduro: Thread  4 | Step       31/    4085 | Reward   0 | Qmax 0.3110 | Loss 0.154 | Epsilon 0.9994
Enduro: Thread  3 | Step       33/    4231 | Reward   0 | Qmax 0.3063 | Loss 0.099 | Epsilon 0.9994
Enduro: Thread  0 | Step       32/    4263 | Reward   0 | Qmax 0.3008 | Loss 0.103 | Epsilon 0.9967
Enduro: Thread  5 | Step       36/    4268 | Reward   0 | Qmax 0.3052 | Loss 0.081 | Epsilon 0.9998
Enduro: Thread  4 | Step       34/    4286 | Reward   0 | Qmax 0.3021 | Loss 0.097 | Epsilon 0.9993
Enduro: Thread  1 | Step       96/    4372 | Reward   1 | Qmax 0.3415 | Loss 0.445 | Epsilon 0.9985
Enduro: Thread  2 | Step       94/    4431 | Reward   1 | Qmax 0.3443 | Loss 0.449 | Epsilon 0.9991
Enduro: Thread  0 | Step       32/    4449 | Reward   0 | Qmax 0.3612 | Loss 0.394 | Epsilon 0.9966
Enduro: Thread  5 | Step       32/    4464 | Reward   0 | Qmax 0.4151 | Loss 0.170 | Epsilon 0.9997
Enduro: Thread  4 | Step       33/    4482 | Reward   0 | Qmax 0.4096 | Loss 0.189 | Epsilon 0.9993
Enduro: Thread  1 | Step       33/    4575 | Reward   0 | Qmax 0.3144 | Loss 0.088 | Epsilon 0.9985
Enduro: Thread  3 | Step       67/    4633 | Reward   1 | Qmax 0.3590 | Loss 0.125 | Epsilon 0.9993
Enduro: Thread  2 | Step       35/    4654 | Reward   0 | Qmax 0.3023 | Loss 0.099 | Epsilon 0.9990
Enduro: Thread  0 | Step       38/    4696 | Reward   0 | Qmax 0.2967 | Loss 0.074 | Epsilon 0.9965
Enduro: Thread  5 | Step       37/    4709 | Reward   0 | Qmax 0.3006 | Loss 0.086 | Epsilon 0.9996
Enduro: Thread  4 | Step       32/    4714 | Reward   0 | Qmax 0.3063 | Loss 0.064 | Epsilon 0.9992
Enduro: Thread  6 | Step       33/    4767 | Reward   0 | Qmax 0.3053 | Loss 0.010 | Epsilon 1.0000
Enduro: Thread  1 | Step       36/    4818 | Reward   0 | Qmax 0.2944 | Loss 0.070 | Epsilon 0.9984
Enduro: Thread  2 | Step       32/    4895 | Reward   0 | Qmax 0.3215 | Loss 0.171 | Epsilon 0.9990
Enduro: Thread  4 | Step       32/    4926 | Reward   0 | Qmax 0.3084 | Loss 0.113 | Epsilon 0.9991
Enduro: Thread  3 | Step       35/    4932 | Reward   0 | Qmax 0.3259 | Loss 1.326 | Epsilon 0.9992
Enduro: Thread  0 | Step       32/    4934 | Reward   0 | Qmax 0.3250 | Loss 0.102 | Epsilon 0.9964
Enduro: Thread  5 | Step       35/    4937 | Reward   0 | Qmax 0.3118 | Loss 0.075 | Epsilon 0.9995
Enduro: Thread  6 | Step       35/    5007 | Reward   0 | Qmax 0.2965 | Loss 0.087 | Epsilon 0.9999
Enduro: Thread  1 | Step       33/    5049 | Reward   0 | Qmax 0.2933 | Loss 0.103 | Epsilon 0.9984
Enduro: Thread  2 | Step       35/    5132 | Reward   0 | Qmax 0.3006 | Loss 0.093 | Epsilon 0.9989
Enduro: Thread  0 | Step       30/    5141 | Reward   0 | Qmax 0.3000 | Loss 0.095 | Epsilon 0.9964
Enduro: Thread  4 | Step       30/    5144 | Reward   0 | Qmax 0.3050 | Loss 0.083 | Epsilon 0.9990
Enduro: Thread  3 | Step       35/    5165 | Reward   0 | Qmax 0.2931 | Loss 0.075 | Epsilon 0.9992
Enduro: Thread  5 | Step       34/    5174 | Reward   0 | Qmax 0.2983 | Loss 0.100 | Epsilon 0.9995
Enduro: Thread  6 | Step       30/    5219 | Reward   0 | Qmax 0.2941 | Loss 0.111 | Epsilon 0.9999
Enduro: Thread  1 | Step       34/    5272 | Reward   0 | Qmax 0.3083 | Loss 0.116 | Epsilon 0.9983
Enduro: Thread  2 | Step       30/    5343 | Reward   0 | Qmax 0.2987 | Loss 0.108 | Epsilon 0.9989
Enduro: Thread  3 | Step       34/    5410 | Reward   0 | Qmax 0.3004 | Loss 0.080 | Epsilon 0.9992
Enduro: Thread  5 | Step       34/    5416 | Reward   0 | Qmax 0.2980 | Loss 0.075 | Epsilon 0.9994
Enduro: Thread  0 | Step       44/    5419 | Reward   0 | Qmax 0.2948 | Loss 0.069 | Epsilon 0.9963
Enduro: Thread  1 | Step       31/    5486 | Reward   0 | Qmax 0.2919 | Loss 0.109 | Epsilon 0.9983
Enduro: Thread  2 | Step       33/    5592 | Reward   0 | Qmax 0.3215 | Loss 0.091 | Epsilon 0.9989
Enduro: Thread  4 | Step       72/    5671 | Reward   1 | Qmax 0.3150 | Loss 0.553 | Epsilon 0.9989
Enduro: Thread  0 | Step       30/    5672 | Reward   0 | Qmax 0.3808 | Loss 0.105 | Epsilon 0.9962
Enduro: Thread  5 | Step       34/    5678 | Reward   0 | Qmax 0.3809 | Loss 0.093 | Epsilon 0.9993
Enduro: Thread  3 | Step       38/    5685 | Reward   0 | Qmax 0.3189 | Loss 0.175 | Epsilon 0.9991
Enduro: Thread  6 | Step       70/    5726 | Reward   1 | Qmax 0.3198 | Loss 0.499 | Epsilon 0.9998
Enduro: Thread  1 | Step       33/    5762 | Reward   0 | Qmax 0.3268 | Loss 0.186 | Epsilon 0.9983
Enduro: Thread  7 | Step       35/    5765 | Reward   0 | Qmax 0.3604 | Loss 0.047 | Epsilon 0.9999
Enduro: Thread  2 | Step       34/    5843 | Reward   0 | Qmax 0.3648 | Loss 0.137 | Epsilon 0.9988
Enduro: Thread  4 | Step       35/    5931 | Reward   0 | Qmax 0.3161 | Loss 0.200 | Epsilon 0.9988
Enduro: Thread  5 | Step       36/    5940 | Reward   0 | Qmax 0.3235 | Loss 0.194 | Epsilon 0.9992
Enduro: Thread  0 | Step       33/    5943 | Reward   0 | Qmax 0.3333 | Loss 0.194 | Epsilon 0.9961
Enduro: Thread  3 | Step       33/    5960 | Reward   0 | Qmax 0.3155 | Loss 0.120 | Epsilon 0.9991
Enduro: Thread  6 | Step       36/    6004 | Reward   0 | Qmax 0.3347 | Loss 0.084 | Epsilon 0.9997
Enduro: Thread  1 | Step       32/    6014 | Reward   0 | Qmax 0.3213 | Loss 0.092 | Epsilon 0.9982
Enduro: Thread  7 | Step       33/    6026 | Reward   0 | Qmax 0.3310 | Loss 0.135 | Epsilon 0.9998
Enduro: Thread  2 | Step       33/    6107 | Reward   0 | Qmax 0.3016 | Loss 0.180 | Epsilon 0.9988
Enduro: Thread  0 | Step       33/    6192 | Reward   0 | Qmax 0.3085 | Loss 0.089 | Epsilon 0.9960
Enduro: Thread  4 | Step       33/    6200 | Reward   0 | Qmax 0.2983 | Loss 0.089 | Epsilon 0.9987
Enduro: Thread  5 | Step       29/    6204 | Reward   0 | Qmax 0.3026 | Loss 0.148 | Epsilon 0.9992
Enduro: Thread  3 | Step       35/    6218 | Reward   0 | Qmax 0.2989 | Loss 0.098 | Epsilon 0.9990
Enduro: Thread  6 | Step       35/    6278 | Reward   0 | Qmax 0.3068 | Loss 0.090 | Epsilon 0.9997
Enduro: Thread  1 | Step       34/    6281 | Reward   0 | Qmax 0.3064 | Loss 0.093 | Epsilon 0.9982
Enduro: Thread  7 | Step       33/    6290 | Reward   0 | Qmax 0.3076 | Loss 0.093 | Epsilon 0.9998
Enduro: Thread  2 | Step       32/    6360 | Reward   0 | Qmax 0.2993 | Loss 0.127 | Epsilon 0.9987
Enduro: Thread  0 | Step       31/    6449 | Reward   0 | Qmax 0.2970 | Loss 0.107 | Epsilon 0.9960
Enduro: Thread  4 | Step       31/    6450 | Reward   0 | Qmax 0.3004 | Loss 0.094 | Epsilon 0.9986
Enduro: Thread  3 | Step       34/    6491 | Reward   0 | Qmax 0.2965 | Loss 0.142 | Epsilon 0.9990
Enduro: Thread  6 | Step       33/    6534 | Reward   0 | Qmax 0.2969 | Loss 0.106 | Epsilon 0.9997
Enduro: Thread  1 | Step       32/    6539 | Reward   0 | Qmax 0.2959 | Loss 0.073 | Epsilon 0.9981
Enduro: Thread  2 | Step       39/    6643 | Reward   0 | Qmax 0.3017 | Loss 0.087 | Epsilon 0.9987
Enduro: Thread  0 | Step       33/    6703 | Reward   0 | Qmax 0.3002 | Loss 0.116 | Epsilon 0.9959
Enduro: Thread  4 | Step       36/    6725 | Reward   0 | Qmax 0.3047 | Loss 0.107 | Epsilon 0.9985
Enduro: Thread  3 | Step       33/    6755 | Reward   0 | Qmax 0.3071 | Loss 0.109 | Epsilon 0.9989
Enduro: Thread  1 | Step       32/    6792 | Reward   0 | Qmax 0.3251 | Loss 0.083 | Epsilon 0.9981
Enduro: Thread  6 | Step       36/    6818 | Reward   0 | Qmax 0.3428 | Loss 0.091 | Epsilon 0.9996
Enduro: Thread  5 | Step       72/    6845 | Reward   1 | Qmax 0.2977 | Loss 0.694 | Epsilon 0.9990
Enduro: Thread  2 | Step       34/    7009 | Reward   0 | Qmax 0.4101 | Loss 0.134 | Epsilon 0.9986
Enduro: Thread  3 | Step       35/    7024 | Reward   0 | Qmax 0.3686 | Loss 0.123 | Epsilon 0.9989
Enduro: Thread  1 | Step       33/    7051 | Reward   0 | Qmax 0.3890 | Loss 0.099 | Epsilon 0.9981
Enduro: Thread  7 | Step       95/    7052 | Reward   1 | Qmax 0.3376 | Loss 0.442 | Epsilon 0.9996
Enduro: Thread  0 | Step       34/    7062 | Reward   0 | Qmax 0.3808 | Loss 0.278 | Epsilon 0.9958
Enduro: Thread  6 | Step       34/    7076 | Reward   0 | Qmax 0.3582 | Loss 0.149 | Epsilon 0.9996
Enduro: Thread  5 | Step       32/    7089 | Reward   0 | Qmax 0.3238 | Loss 0.087 | Epsilon 0.9989
Enduro: Thread  2 | Step       37/    7292 | Reward   0 | Qmax 0.3140 | Loss 0.095 | Epsilon 0.9986
Enduro: Thread  1 | Step       33/    7301 | Reward   0 | Qmax 0.3173 | Loss 0.138 | Epsilon 0.9980
Enduro: Thread  7 | Step       36/    7332 | Reward   0 | Qmax 0.3303 | Loss 0.213 | Epsilon 0.9995
Enduro: Thread  0 | Step       32/    7336 | Reward   0 | Qmax 0.3122 | Loss 0.102 | Epsilon 0.9957
Enduro: Thread  5 | Step       36/    7371 | Reward   0 | Qmax 0.3328 | Loss 0.170 | Epsilon 0.9988
Enduro: Thread  2 | Step       35/    7561 | Reward   0 | Qmax 0.3508 | Loss 0.162 | Epsilon 0.9985
Enduro: Thread  1 | Step       32/    7562 | Reward   0 | Qmax 0.3439 | Loss 0.168 | Epsilon 0.9980
Enduro: Thread  7 | Step       34/    7597 | Reward   0 | Qmax 0.3470 | Loss 0.156 | Epsilon 0.9994
Enduro: Thread  5 | Step       33/    7626 | Reward   0 | Qmax 0.3597 | Loss 0.386 | Epsilon 0.9988
Enduro: Thread  4 | Step      120/    7710 | Reward   2 | Qmax 0.3292 | Loss 0.656 | Epsilon 0.9982
Enduro: Thread  3 | Step       97/    7781 | Reward   1 | Qmax 0.3643 | Loss 0.524 | Epsilon 0.9988
Enduro: Thread  7 | Step       32/    7848 | Reward   0 | Qmax 0.4001 | Loss 0.159 | Epsilon 0.9993
Enduro: Thread  6 | Step       96/    7853 | Reward   1 | Qmax 0.3571 | Loss 0.533 | Epsilon 0.9995
Enduro: Thread  2 | Step       38/    7855 | Reward   0 | Qmax 0.3756 | Loss 0.338 | Epsilon 0.9985
Enduro: Thread  5 | Step       33/    7887 | Reward   0 | Qmax 0.4119 | Loss 0.100 | Epsilon 0.9987
Enduro: Thread  4 | Step       40/    7998 | Reward   0 | Qmax 0.3686 | Loss 0.078 | Epsilon 0.9981
Enduro: Thread  3 | Step       34/    8049 | Reward   0 | Qmax 0.3393 | Loss 0.112 | Epsilon 0.9987
Enduro: Thread  2 | Step       32/    8111 | Reward   0 | Qmax 0.2919 | Loss 0.104 | Epsilon 0.9985
Enduro: Thread  7 | Step       33/    8112 | Reward   0 | Qmax 0.2959 | Loss 0.071 | Epsilon 0.9993
Enduro: Thread  5 | Step       34/    8156 | Reward   0 | Qmax 0.3216 | Loss 0.079 | Epsilon 0.9986
Enduro: Thread  4 | Step       32/    8261 | Reward   0 | Qmax 0.3946 | Loss 0.114 | Epsilon 0.9980
Enduro: Thread  1 | Step       93/    8321 | Reward   1 | Qmax 0.3703 | Loss 0.382 | Epsilon 0.9979
Enduro: Thread  7 | Step       30/    8360 | Reward   0 | Qmax 0.3689 | Loss 0.153 | Epsilon 0.9992
